# frequency hf_real hf_imag
5.600000000000000000e+01 -2.731889443709402601e-23 3.822230948336453331e-23
5.700000000000000000e+01 1.889415606988551073e-23 -5.148589710622450835e-23
5.800000000000000000e+01 9.658227707621538902e-25 5.181050270335797315e-23
5.900000000000000000e+01 -1.953389468192376165e-23 -4.749073392002692398e-23
6.000000000000000000e+01 3.271538403311720390e-23 3.381334992597809043e-23
6.100000000000000000e+01 -4.379380398548040379e-23 -1.844504288363946120e-23
6.200000000000000000e+01 4.796155755173216023e-23 1.722395050248488777e-24
6.300000000000000000e+01 -4.255894517016278307e-23 1.521626110574931431e-23
6.400000000000000000e+01 2.983406164604710991e-23 -3.002438913812044906e-23
6.500000000000000000e+01 -1.541610377486515148e-23 4.062624451218252315e-23
6.600000000000000000e+01 -1.295706756509352326e-24 -4.104542483541265115e-23
6.700000000000000000e+01 1.723772225856531322e-23 3.304042343050372823e-23
6.800000000000000000e+01 -3.370216655484592028e-23 -2.065024862805755488e-23
6.900000000000000000e+01 3.872342266820881523e-23 7.624594652363114274e-24
7.000000000000000000e+01 -3.671280368945464832e-23 1.098870851840478611e-23
7.100000000000000000e+01 2.948723642835715381e-23 -2.424181214062771556e-23
7.200000000000000000e+01 -1.456926181794777578e-23 2.970070265312971444e-23
7.300000000000000000e+01 -6.962284062265130170e-25 -3.580882123221951853e-23
7.400000000000000000e+01 1.935937266936341062e-23 3.603559259157239059e-23
7.500000000000000000e+01 -2.501193907824979463e-23 -2.196595649630241426e-23
7.600000000000000000e+01 3.178169349624831874e-23 4.098861379366074466e-24
7.700000000000000000e+01 -3.062823449788151756e-23 1.660157286711168863e-23
7.800000000000000000e+01 1.971128523698173140e-23 -2.605373588777849130e-23
7.900000000000000000e+01 -8.853774978081096262e-24 3.237481196558651650e-23
8.000000000000000000e+01 -4.674888403714161188e-24 -3.103004174378843668e-23
8.100000000000000000e+01 2.599754183500806730e-23 2.286398660773824320e-23
8.200000000000000000e+01 -3.425579659690228355e-23 -6.728038756697634239e-24
8.300000000000000000e+01 3.063255876029889954e-23 -4.132547088262985201e-24
8.400000000000000000e+01 -2.447059049087776413e-23 1.852946107261869277e-23
8.500000000000000000e+01 7.494472292807709590e-24 -2.673724523079010348e-23
8.600000000000000000e+01 3.106736520738535985e-24 2.776733676874018074e-23
8.700000000000000000e+01 -1.635884218878252425e-23 -2.523258747432261495e-23
8.800000000000000000e+01 2.700488355938411463e-23 1.062560474494293628e-23
8.900000000000000000e+01 -3.317820949080530588e-23 2.700646867893633146e-24
9.000000000000000000e+01 2.653704404792088295e-23 -1.499341804567881905e-23
9.100000000000000000e+01 -1.289045261572532346e-23 2.413354109958498332e-23
9.200000000000000000e+01 -8.463172804197319592e-25 -2.834135542646117513e-23
9.300000000000000000e+01 1.283484649310092428e-23 2.146105344310212777e-23
9.400000000000000000e+01 -2.256312123136234983e-23 -1.379388068340600323e-23
9.500000000000000000e+01 2.902281730873395074e-23 -3.883437756760962451e-24
9.600000000000000000e+01 -2.410972313448313576e-23 1.222377593502286443e-23
9.700000000000000000e+01 1.323288415301530054e-23 -2.357240820581206552e-23
9.800000000000000000e+01 1.982774229828094287e-24 2.353840781372516340e-23
9.900000000000000000e+01 -1.728347333447949702e-23 -2.312362110467329627e-23
1.000000000000000000e+02 2.282493640823061673e-23 1.237297579100447035e-23
1.010000000000000000e+02 -2.931354800917683797e-23 -1.072107662299223630e-24
1.020000000000000000e+02 1.959862430271287713e-23 -9.778062908179409654e-24
1.030000000000000000e+02 -1.061451484961408786e-23 2.050029984446674313e-23
1.040000000000000000e+02 -1.642316522498338138e-24 -2.573047679170947177e-23
1.050000000000000000e+02 1.288198564597684863e-23 1.667095581204792014e-23
1.060000000000000000e+02 -2.257810813393703977e-23 -7.262859476663195216e-24
1.070000000000000000e+02 2.571160147453055867e-23 -1.942414567437596701e-25
1.080000000000000000e+02 -1.791023191341598801e-23 9.832549598747542447e-24
1.090000000000000000e+02 7.650963585923228097e-24 -2.105806449807118550e-23
1.100000000000000000e+02 3.932464846360818670e-24 2.303666593576524994e-23
1.110000000000000000e+02 -1.570257301155071767e-23 -1.640905289284289284e-23
1.120000000000000000e+02 2.653714249054146629e-23 3.882011681961545949e-24
1.130000000000000000e+02 -2.395894541208616619e-23 2.094287882033552426e-24
1.140000000000000000e+02 1.610463728248924920e-23 -1.729524107054625999e-23
1.150000000000000000e+02 -6.859252065795701391e-24 2.297507800477864011e-23
1.160000000000000000e+02 -6.871620606731019312e-24 -2.086694805481732463e-23
1.170000000000000000e+02 1.657346868994930290e-23 1.300968155255575560e-23
1.180000000000000000e+02 -2.116421976304261964e-23 -6.013853544732453039e-24
1.190000000000000000e+02 1.752396895905154531e-23 -8.258315502858567493e-24
1.200000000000000000e+02 -1.471147163196672648e-23 1.748314394043899202e-23
1.210000000000000000e+02 3.100720153709867957e-26 -1.814691674046429835e-23
1.220000000000000000e+02 1.144190711786547922e-23 1.974603243038285808e-23
1.230000000000000000e+02 -1.308237468085076722e-23 -1.154652858051259321e-23
1.240000000000000000e+02 2.395890802864148727e-23 1.263136957131935149e-24
1.250000000000000000e+02 -1.763622121865278358e-23 1.039306450647825560e-23
1.260000000000000000e+02 1.187173501249631783e-23 -1.526188375639927584e-23
1.270000000000000000e+02 1.719676352966185300e-24 2.215244577162191716e-23
1.280000000000000000e+02 -8.949140428261573110e-24 -1.751557368472408436e-23
1.290000000000000000e+02 2.041621784343274700e-23 7.843339923491511701e-24
1.300000000000000000e+02 -2.069603758948917424e-23 3.342942803566796908e-24
1.310000000000000000e+02 1.305232576579871513e-23 -1.063003734834130146e-23
1.320000000000000000e+02 -6.858536312105426900e-24 1.533913544247056627e-23
1.330000000000000000e+02 -4.994133304594895018e-24 -1.781303347166778641e-23
1.340000000000000000e+02 1.265161024687403431e-23 1.423928223100133053e-23
1.350000000000000000e+02 -2.016452882752648371e-23 -4.194564092929057597e-24
1.360000000000000000e+02 2.094444402063397815e-23 -9.632113036081351393e-24
1.370000000000000000e+02 -1.131465123234612010e-23 1.573683104208199846e-23
1.380000000000000000e+02 4.731481147816668736e-24 -2.126896478264651320e-23
1.390000000000000000e+02 1.248663487225497505e-23 1.826784452056725836e-23
1.400000000000000000e+02 -1.781111029968008230e-23 -1.069944284022086984e-23
1.410000000000000000e+02 1.679147608336182727e-23 5.385516668331335320e-24
1.420000000000000000e+02 -1.557064168510223410e-23 1.121543725975652069e-23
1.430000000000000000e+02 5.859327089441629524e-24 -1.964486059804427616e-23
1.440000000000000000e+02 4.691064979391881200e-24 1.752822594748090922e-23
1.450000000000000000e+02 -1.031410023994450060e-23 -1.468221889263975522e-23
1.460000000000000000e+02 1.641000646415118338e-23 5.205744716666595381e-24
1.470000000000000000e+02 -1.858931082593519892e-23 7.755884270333662713e-24
1.480000000000000000e+02 1.217282801781572916e-23 -1.434900295225026815e-23
1.490000000000000000e+02 5.176741745035362519e-25 1.742797765998595423e-23
1.500000000000000000e+02 -7.729994433695828962e-24 -1.687076664135057793e-23
1.510000000000000000e+02 1.701204434863060173e-23 1.035445050906552783e-23
1.520000000000000000e+02 -1.600441760272997586e-23 4.217179467753946794e-24
1.530000000000000000e+02 1.592812458219184188e-23 -1.246374880649136348e-23
1.540000000000000000e+02 -7.134413790901115710e-24 1.873852047683332713e-23
1.550000000000000000e+02 -3.585463913581910009e-24 -1.790754996412286451e-23
1.560000000000000000e+02 1.148903384551936442e-23 1.156999274199899962e-23
1.570000000000000000e+02 -1.677142762475111982e-23 -5.265916608514417112e-24
1.580000000000000000e+02 1.884775559817809930e-23 -2.623007300973649885e-24
1.590000000000000000e+02 -1.649889077404688341e-23 1.548949357130081960e-23
1.600000000000000000e+02 3.515104416001654903e-24 -1.941487256880642498e-23
1.610000000000000000e+02 8.661004285965695680e-24 1.520010178005781417e-23
1.620000000000000000e+02 -1.499414944880809088e-23 -8.175426529078159031e-24
1.630000000000000000e+02 1.906056739254995762e-23 -1.849531360141087743e-24
1.640000000000000000e+02 -1.832993593679705390e-23 9.097063561447619245e-24
1.650000000000000000e+02 3.425072225231417069e-24 -1.883034094228258289e-23
1.660000000000000000e+02 3.792409907733922500e-24 1.829880603970234732e-23
1.670000000000000000e+02 -1.452671729219297334e-23 -1.274993164898807315e-23
1.680000000000000000e+02 1.788642243078511923e-23 8.411538340498287253e-25
1.690000000000000000e+02 -1.700779645243423242e-23 8.796083038194269233e-24
1.700000000000000000e+02 6.272320038272457003e-24 -1.724336257448655205e-23
1.710000000000000000e+02 1.256245975849414898e-24 1.753164074773583685e-23
1.720000000000000000e+02 -7.544827470755108662e-24 -1.515879240001670853e-23
1.730000000000000000e+02 1.699720945072561017e-23 7.512886810616031347e-24
1.740000000000000000e+02 -1.835026154335872147e-23 3.650562655622100874e-24
1.750000000000000000e+02 1.201799423445541946e-23 -1.506741639247445076e-23
1.760000000000000000e+02 -2.899856812123612433e-24 1.836347321759688891e-23
1.770000000000000000e+02 -4.758260916409365165e-24 -1.625662086422679499e-23
1.780000000000000000e+02 1.561620627621681397e-23 9.985709306934577428e-24
1.790000000000000000e+02 -1.755343397299056481e-23 3.518456921720546015e-24
1.800000000000000000e+02 1.199076351081611345e-23 -9.527926386061495511e-24
1.810000000000000000e+02 -8.765992411675400828e-24 1.500431381759038106e-23
1.820000000000000000e+02 -1.108765943466435337e-24 -1.612241959751610129e-23
1.830000000000000000e+02 1.235939843594473713e-23 1.303575006875376804e-23
1.840000000000000000e+02 -1.197131961391196748e-23 -6.038286392385810724e-24
1.850000000000000000e+02 1.616417592781400743e-23 -4.055547459299616937e-24
1.860000000000000000e+02 -9.999970518539510555e-24 1.309220405281953610e-23
1.870000000000000000e+02 1.194357997736993278e-24 -1.987490978433354998e-23
1.880000000000000000e+02 7.106587480749288210e-24 1.630502959261443216e-23
1.890000000000000000e+02 -1.312719768297881100e-23 -8.917069953650443639e-24
1.900000000000000000e+02 1.707753948992041810e-23 1.938070193664833821e-25
1.910000000000000000e+02 -1.314125348292528832e-23 1.076835209012752037e-23
