# frequency hf_real hf_imag
3.300000000000000000e+01 3.647559155425969020e-23 -2.495528478807027095e-23
3.400000000000000000e+01 3.607530063356925779e-23 2.064233016192445064e-23
3.500000000000000000e+01 6.705007106971761379e-24 3.821366447352007232e-23
3.600000000000000000e+01 -2.728234027804074768e-23 2.558753456294367671e-23
3.700000000000000000e+01 -3.653946137470822859e-23 -3.408655531095811361e-24
3.800000000000000000e+01 -2.464438064614278882e-23 -2.493312303851901623e-23
3.900000000000000000e+01 1.515437583638327560e-24 -3.606760994474012420e-23
4.000000000000000000e+01 1.942627528455561488e-23 -2.873337738686340149e-23
4.100000000000000000e+01 3.214958724932338844e-23 -8.911780332306519563e-24
4.200000000000000000e+01 2.951288737030172422e-23 1.105910262197523637e-23
4.300000000000000000e+01 1.872493604503385630e-23 2.114163902708181898e-23
4.400000000000000000e+01 5.237679203756523081e-24 2.969026544365255343e-23
4.500000000000000000e+01 -9.151035815959990523e-24 2.843333097864200185e-23
4.600000000000000000e+01 -1.912092118741207184e-23 1.964961735343914526e-23
4.700000000000000000e+01 -2.540049361967945008e-23 1.014897905854395734e-23
4.800000000000000000e+01 -2.584449874517805615e-23 -4.375124334080351943e-25
4.900000000000000000e+01 -2.271926097263442299e-23 -1.021514179105970485e-23
5.000000000000000000e+01 -1.788910683912874414e-23 -1.865150107653922994e-23
5.100000000000000000e+01 -1.036152980176648550e-23 -2.020407647704915409e-23
5.200000000000000000e+01 -2.134404529253503905e-24 -2.561008415804188468e-23
5.300000000000000000e+01 4.229816606170093733e-24 -2.329794258295480570e-23
5.400000000000000000e+01 1.198135058555336482e-23 -1.979784008819379600e-23
5.500000000000000000e+01 1.687339448915749870e-23 -1.347219448729500109e-23
5.600000000000000000e+01 1.919355532186281923e-23 -1.102029498827946602e-23
5.700000000000000000e+01 2.318613016164358900e-23 -3.052240300123393723e-24
5.800000000000000000e+01 2.141362492720867047e-23 4.478171306499425643e-25
5.900000000000000000e+01 1.892696372721697870e-23 4.858043806067658093e-24
6.000000000000000000e+01 1.635739091463757351e-23 8.176694681420852304e-24
6.100000000000000000e+01 1.350731188514829166e-23 1.427970943389948786e-23
6.200000000000000000e+01 9.753951191025367966e-24 1.420648525401386006e-23
6.300000000000000000e+01 7.903852912785690291e-24 1.702416919341528788e-23
6.400000000000000000e+01 2.180283664429250169e-24 1.757742370951705566e-23
6.500000000000000000e+01 -6.842049284739548169e-25 1.823711662679739283e-23
6.600000000000000000e+01 -4.455268650526642291e-24 1.576052225721449477e-23
6.700000000000000000e+01 -5.654190822973294159e-24 1.623459313824941120e-23
6.800000000000000000e+01 -1.083586801269522695e-23 1.388376368158817553e-23
6.900000000000000000e+01 -1.173398737291355174e-23 1.199229271162498728e-23
7.000000000000000000e+01 -1.305403878831387806e-23 8.063964290401066851e-24
7.100000000000000000e+01 -1.370158821706424658e-23 8.283776639701009278e-24
7.200000000000000000e+01 -1.423291988304628936e-23 4.955550090944965581e-24
7.300000000000000000e+01 -1.522550865669602301e-23 2.361284395159658016e-24
7.400000000000000000e+01 -1.384733190143560785e-23 4.068446223288902404e-25
7.500000000000000000e+01 -1.413112970594576482e-23 -4.840496736191874466e-24
7.600000000000000000e+01 -1.114944795033508447e-23 -3.871769549201672415e-24
7.700000000000000000e+01 -1.436773865619396169e-23 -3.688629959356882434e-24
7.800000000000000000e+01 -1.098070864430157851e-23 -9.241843378745600233e-24
7.900000000000000000e+01 -1.140729254361685769e-23 -8.563689176633514556e-24
8.000000000000000000e+01 -9.720851253043681621e-24 -8.515330681654533477e-24
8.100000000000000000e+01 -5.329459727766297320e-24 -1.114706962336551060e-23
8.200000000000000000e+01 -4.033898375087430563e-24 -1.195644204617632356e-23
8.300000000000000000e+01 -6.186958551107559886e-24 -1.187776605423831713e-23
8.400000000000000000e+01 -2.949689304863094313e-24 -1.285150529465525393e-23
8.500000000000000000e+01 -1.269832722196623881e-24 -1.092303132786442661e-23
